"year";"industry";"wage";"wageLY";"LYDif";"YearDif"
2001;*N/A;14367.0000;13212.0000;+;1155.0000
2002;*N/A;15520.7500;14367.0000;+;1153.7500
2003;*N/A;16424.7500;15520.7500;+;904.0000
2004;*N/A;17456.7500;16424.7500;+;1032.0000
2005;*N/A;18336.2500;17456.7500;+;879.5000
2006;*N/A;19536.0000;18336.2500;+;1199.7500
2007;*N/A;20947.2500;19536.0000;+;1411.2500
2008;*N/A;22592.0000;20947.2500;+;1644.7500
2009;*N/A;23353.2500;22592.0000;+;761.2500
2010;*N/A;23858.2500;23353.2500;+;505.0000
2011;*N/A;24451.5000;23858.2500;+;593.2500
2012;*N/A;25063.0000;24451.5000;+;611.5000
2013;*N/A;25030.5000;25063.0000;-;-32.5000
2014;*N/A;25760.0000;25030.5000;+;729.5000
2015;*N/A;26581.5000;25760.0000;+;821.5000
2016;*N/A;27755.5000;26581.5000;+;1174.0000
2017;*N/A;29625.5000;27755.5000;+;1870.0000
2018;*N/A;32043.0000;29625.5000;+;2417.5000
2019;*N/A;34572.0000;32043.0000;+;2529.0000
2020;*N/A;35662.5000;34572.0000;+;1090.5000
2021;*N/A;36802.0000;35662.5000;+;1139.5000
2001;Administrativní a podpùrné èinnosti;11283.5000;10453.7500;+;829.7500
2002;Administrativní a podpùrné èinnosti;12113.7500;11283.5000;+;830.2500
2003;Administrativní a podpùrné èinnosti;12190.0000;12113.7500;+;76.2500
2004;Administrativní a podpùrné èinnosti;12947.2500;12190.0000;+;757.2500
2005;Administrativní a podpùrné èinnosti;13487.7500;12947.2500;+;540.5000
2006;Administrativní a podpùrné èinnosti;14444.0000;13487.7500;+;956.2500
2007;Administrativní a podpùrné èinnosti;15235.5000;14444.0000;+;791.5000
2008;Administrativní a podpùrné èinnosti;15527.0000;15235.5000;+;291.5000
2009;Administrativní a podpùrné èinnosti;15920.7500;15527.0000;+;393.7500
2010;Administrativní a podpùrné èinnosti;15942.7500;15920.7500;+;22.0000
2011;Administrativní a podpùrné èinnosti;16546.7500;15942.7500;+;604.0000
2012;Administrativní a podpùrné èinnosti;17040.5000;16546.7500;+;493.7500
2013;Administrativní a podpùrné èinnosti;16829.2500;17040.5000;-;-211.2500
2014;Administrativní a podpùrné èinnosti;17200.7500;16829.2500;+;371.5000
2015;Administrativní a podpùrné èinnosti;17570.2500;17200.7500;+;369.5000
2016;Administrativní a podpùrné èinnosti;18578.5000;17570.2500;+;1008.2500
2017;Administrativní a podpùrné èinnosti;19568.2500;18578.5000;+;989.7500
2018;Administrativní a podpùrné èinnosti;20953.5000;19568.2500;+;1385.2500
2019;Administrativní a podpùrné èinnosti;22973.0000;20953.5000;+;2019.5000
2020;Administrativní a podpùrné èinnosti;24469.2500;22973.0000;+;1496.2500
2021;Administrativní a podpùrné èinnosti;25685.5000;24469.2500;+;1216.2500
2001;Èinnosti v oblasti nemovitostí;13696.5000;12414.5000;+;1282.0000
2002;Èinnosti v oblasti nemovitostí;15568.0000;13696.5000;+;1871.5000
2003;Èinnosti v oblasti nemovitostí;16303.0000;15568.0000;+;735.0000
2004;Èinnosti v oblasti nemovitostí;17438.2500;16303.0000;+;1135.2500
2005;Èinnosti v oblasti nemovitostí;17875.0000;17438.2500;+;436.7500
2006;Èinnosti v oblasti nemovitostí;19242.0000;17875.0000;+;1367.0000
2007;Èinnosti v oblasti nemovitostí;20708.0000;19242.0000;+;1466.0000
2008;Èinnosti v oblasti nemovitostí;20790.2500;20708.0000;+;82.2500
2009;Èinnosti v oblasti nemovitostí;20706.0000;20790.2500;-;-84.2500
2010;Èinnosti v oblasti nemovitostí;21341.0000;20706.0000;+;635.0000
2011;Èinnosti v oblasti nemovitostí;22337.0000;21341.0000;+;996.0000
2012;Èinnosti v oblasti nemovitostí;22552.5000;22337.0000;+;215.5000
2013;Èinnosti v oblasti nemovitostí;22151.5000;22552.5000;-;-401.0000
2014;Èinnosti v oblasti nemovitostí;22763.0000;22151.5000;+;611.5000
2015;Èinnosti v oblasti nemovitostí;23560.7500;22763.0000;+;797.7500
2016;Èinnosti v oblasti nemovitostí;24520.7500;23560.7500;+;960.0000
2017;Èinnosti v oblasti nemovitostí;26028.7500;24520.7500;+;1508.0000
2018;Èinnosti v oblasti nemovitostí;28109.0000;26028.7500;+;2080.2500
2019;Èinnosti v oblasti nemovitostí;31470.2500;28109.0000;+;3361.2500
2020;Èinnosti v oblasti nemovitostí;29320.0000;31470.2500;-;-2150.2500
2021;Èinnosti v oblasti nemovitostí;32692.0000;29320.0000;+;3372.0000
2001;Doprava a skladování;14289.5000;13367.0000;+;922.5000
2002;Doprava a skladování;15415.7500;14289.5000;+;1126.2500
2003;Doprava a skladování;16259.5000;15415.7500;+;843.7500
2004;Doprava a skladování;17347.0000;16259.5000;+;1087.5000
2005;Doprava a skladování;18191.2500;17347.0000;+;844.2500
2006;Doprava a skladování;19256.7500;18191.2500;+;1065.5000
2007;Doprava a skladování;20653.5000;19256.7500;+;1396.7500
2008;Doprava a skladování;22373.7500;20653.5000;+;1720.2500
2009;Doprava a skladování;23009.5000;22373.7500;+;635.7500
2010;Doprava a skladování;23062.5000;23009.5000;+;53.0000
2011;Doprava a skladování;23062.0000;23062.5000;-;-0.5000
2012;Doprava a skladování;23293.0000;23062.0000;+;231.0000
2013;Doprava a skladování;23414.2500;23293.0000;+;121.2500
2014;Doprava a skladování;23874.0000;23414.2500;+;459.7500
2015;Doprava a skladování;24645.0000;23874.0000;+;771.0000
2016;Doprava a skladování;25814.7500;24645.0000;+;1169.7500
2017;Doprava a skladování;27426.0000;25814.7500;+;1611.2500
2018;Doprava a skladování;29459.5000;27426.0000;+;2033.5000
2019;Doprava a skladování;31625.7500;29459.5000;+;2166.2500
2020;Doprava a skladování;31933.0000;31625.7500;+;307.2500
2021;Doprava a skladování;32256.5000;31933.0000;+;323.5000
2001;Informaèní a komunikaèní èinnosti;25423.2500;22067.7500;+;3355.5000
2002;Informaèní a komunikaèní èinnosti;27396.7500;25423.2500;+;1973.5000
2003;Informaèní a komunikaèní èinnosti;29464.2500;27396.7500;+;2067.5000
2004;Informaèní a komunikaèní èinnosti;31308.2500;29464.2500;+;1844.0000
2005;Informaèní a komunikaèní èinnosti;33401.5000;31308.2500;+;2093.2500
2006;Informaèní a komunikaèní èinnosti;35793.0000;33401.5000;+;2391.5000
2007;Informaèní a komunikaèní èinnosti;38150.0000;35793.0000;+;2357.0000
2008;Informaèní a komunikaèní èinnosti;41787.2500;38150.0000;+;3637.2500
2009;Informaèní a komunikaèní èinnosti;43082.5000;41787.2500;+;1295.2500
2010;Informaèní a komunikaèní èinnosti;43789.7500;43082.5000;+;707.2500
2011;Informaèní a komunikaèní èinnosti;45335.2500;43789.7500;+;1545.5000
2012;Informaèní a komunikaèní èinnosti;46641.0000;45335.2500;+;1305.7500
2013;Informaèní a komunikaèní èinnosti;46155.0000;46641.0000;-;-486.0000
2014;Informaèní a komunikaèní èinnosti;47870.0000;46155.0000;+;1715.0000
2015;Informaèní a komunikaèní èinnosti;49003.7500;47870.0000;+;1133.7500
2016;Informaèní a komunikaèní èinnosti;50146.7500;49003.7500;+;1143.0000
2017;Informaèní a komunikaèní èinnosti;52812.5000;50146.7500;+;2665.7500
2018;Informaèní a komunikaèní èinnosti;56727.7500;52812.5000;+;3915.2500
2019;Informaèní a komunikaèní èinnosti;59202.7500;56727.7500;+;2475.0000
2020;Informaèní a komunikaèní èinnosti;62005.5000;59202.7500;+;2802.7500
2021;Informaèní a komunikaèní èinnosti;64399.5000;62005.5000;+;2394.0000
2001;Kulturní, zábavní a rekreaèní èinnosti;12873.5000;11405.0000;+;1468.5000
2002;Kulturní, zábavní a rekreaèní èinnosti;13204.5000;12873.5000;+;331.0000
2003;Kulturní, zábavní a rekreaèní èinnosti;14242.7500;13204.5000;+;1038.2500
2004;Kulturní, zábavní a rekreaèní èinnosti;15071.7500;14242.7500;+;829.0000
2005;Kulturní, zábavní a rekreaèní èinnosti;16065.0000;15071.7500;+;993.2500
2006;Kulturní, zábavní a rekreaèní èinnosti;16827.2500;16065.0000;+;762.2500
2007;Kulturní, zábavní a rekreaèní èinnosti;17903.2500;16827.2500;+;1076.0000
2008;Kulturní, zábavní a rekreaèní èinnosti;18791.0000;17903.2500;+;887.7500
2009;Kulturní, zábavní a rekreaèní èinnosti;19449.2500;18791.0000;+;658.2500
2010;Kulturní, zábavní a rekreaèní èinnosti;19834.5000;19449.2500;+;385.2500
2011;Kulturní, zábavní a rekreaèní èinnosti;19865.2500;19834.5000;+;30.7500
2012;Kulturní, zábavní a rekreaèní èinnosti;20808.2500;19865.2500;+;943.0000
2013;Kulturní, zábavní a rekreaèní èinnosti;20510.5000;20808.2500;-;-297.7500
2014;Kulturní, zábavní a rekreaèní èinnosti;21302.0000;20510.5000;+;791.5000
2015;Kulturní, zábavní a rekreaèní èinnosti;22046.7500;21302.0000;+;744.7500
2016;Kulturní, zábavní a rekreaèní èinnosti;23521.2500;22046.7500;+;1474.5000
2017;Kulturní, zábavní a rekreaèní èinnosti;25518.5000;23521.2500;+;1997.2500
2018;Kulturní, zábavní a rekreaèní èinnosti;28398.7500;25518.5000;+;2880.2500
2019;Kulturní, zábavní a rekreaèní èinnosti;31137.0000;28398.7500;+;2738.2500
2020;Kulturní, zábavní a rekreaèní èinnosti;31738.0000;31137.0000;+;601.0000
2021;Kulturní, zábavní a rekreaèní èinnosti;30690.0000;31738.0000;-;-1048.0000
2001;Ostatní èinnosti;12089.5000;11140.2500;+;949.2500
2002;Ostatní èinnosti;13224.0000;12089.5000;+;1134.5000
2003;Ostatní èinnosti;14073.7500;13224.0000;+;849.7500
2004;Ostatní èinnosti;14788.7500;14073.7500;+;715.0000
2005;Ostatní èinnosti;15431.7500;14788.7500;+;643.0000
2006;Ostatní èinnosti;16483.7500;15431.7500;+;1052.0000
2007;Ostatní èinnosti;17602.0000;16483.7500;+;1118.2500
2008;Ostatní èinnosti;17990.5000;17602.0000;+;388.5000
2009;Ostatní èinnosti;18329.0000;17990.5000;+;338.5000
2010;Ostatní èinnosti;18350.0000;18329.0000;+;21.0000
2011;Ostatní èinnosti;19214.0000;18350.0000;+;864.0000
2012;Ostatní èinnosti;19365.7500;19214.0000;+;151.7500
2013;Ostatní èinnosti;19858.2500;19365.7500;+;492.5000
2014;Ostatní èinnosti;20289.7500;19858.2500;+;431.5000
2015;Ostatní èinnosti;20800.7500;20289.7500;+;511.0000
2016;Ostatní èinnosti;21458.2500;20800.7500;+;657.5000
2017;Ostatní èinnosti;22404.2500;21458.2500;+;946.0000
2018;Ostatní èinnosti;23696.5000;22404.2500;+;1292.2500
2019;Ostatní èinnosti;25280.2500;23696.5000;+;1583.7500
2020;Ostatní èinnosti;25968.0000;25280.2500;+;687.7500
2021;Ostatní èinnosti;27266.5000;25968.0000;+;1298.5000
